alpha,d,n,mse,sem,mode,rate_r,slope
2.5,2,1024,9.403941472356185e-05,8.157000318159988e-06,control_too_slow_bandwidth,0.7143,-0.4979
2.5,2,2048,6.910131311247951e-05,5.13024790172016e-06,control_too_slow_bandwidth,0.7143,-0.4979
2.5,2,4096,5.8573702701033094e-05,2.920919630134915e-06,control_too_slow_bandwidth,0.7143,-0.4979
2.5,3,32,0.00992522386827314,0.0014958000264454015,optimal,0.625,-1.0995
2.5,3,64,0.02819202355844299,0.0071923060704988636,optimal,0.625,-1.0995
2.5,3,128,0.008775239251148457,0.0018428853947385945,optimal,0.625,-1.0995
2.5,3,256,0.0012283437037825444,0.00010902118051278273,optimal,0.625,-1.0995
2.5,3,512,0.0005970208470223425,4.8965713711153894e-05,optimal,0.625,-1.0995
2.5,3,1024,0.0003482925725499261,3.117995829953947e-05,optimal,0.625,-1.0995
2.5,3,2048,0.00023460471117303666,2.0449465835667116e-05,optimal,0.625,-1.0995
2.5,3,4096,0.0001431997859518285,1.2498421070356706e-05,optimal,0.625,-1.0995
2.5,3,32,0.029275480604244054,0.00935915036190242,control_too_slow_bandwidth,0.625,-0.9686
2.5,3,64,0.0012947895210008026,0.00019850739948086384,control_too_slow_bandwidth,0.625,-0.9686
2.5,3,128,0.00045026489283589855,8.303796873803914e-05,control_too_slow_bandwidth,0.625,-0.9686
2.5,3,256,0.0003535379566597727,4.706579196403783e-05,control_too_slow_bandwidth,0.625,-0.9686
2.5,3,512,0.00018003697982396297,2.572105443843654e-05,control_too_slow_bandwidth,0.625,-0.9686
2.5,3,1024,0.00015992153065663212,2.0736579663047298e-05,control_too_slow_bandwidth,0.625,-0.9686
2.5,3,2048,0.00011519293260195572,1.1827302632635234e-05,control_too_slow_bandwidth,0.625,-0.9686
2.5,3,4096,8.965497060006212e-05,6.3118884339615e-06,control_too_slow_bandwidth,0.625,-0.9686
